name;alternativeName;description;authorTitle
Add-on;;Offer a basic product at a competitive price and charge for several extras;The Business Model Pattern Database: A Tool for Systematic BMI
Advertising model;ad-supported, content sponsorship, hidden revenues;Provide a product or service and mix it with advertising messages;The Business Model Pattern Database: A Tool for Systematic BMI
Advisors;;Provide consulting and advice;The Business Model Pattern Database: A Tool for Systematic BMI
Affiliation;prospect fees;Refer customers to a third party and receive a commission for a specific transaction completed (e.g., click, give information, buy product);The Business Model Pattern Database: A Tool for Systematic BMI
Affinity clubs;;Partner with membership associations and other affinity groups to offer a product exclusively to its members;The Business Model Pattern Database: A Tool for Systematic BMI
Agent models;sales commissions;Represent the buyer or the seller and earn commissions for successful facilitation of transactions;The Business Model Pattern Database: A Tool for Systematic BMI
Aggregation;aggregator, distributor, multi-party market aggregation;Build a specific form of broker preselecting products/services and target audience—hence, key process is matching of needs;The Business Model Pattern Database: A Tool for Systematic BMI
Agora;exchange;Build a specific form of broker allowing buyer and seller to freely negotiate and assign value to goods—hence, key process is price discovery;The Business Model Pattern Database: A Tool for Systematic BMI
Aikido;;Offer products to the customer that are the opposite of what the competitors are offering, thereby making competitor’s strengths a weakness;The Business Model Pattern Database: A Tool for Systematic BMI
Application service providers ;vertical infrastructure portals;Allow customers to use software that is hosted on remote servers for continuous service fee;The Business Model Pattern Database: A Tool for Systematic BMI
Auction;auction broker, e-auction, exchange, product bids;"Make customers name the maximum price they are willing to pay; the highest price wins the product or service";The Business Model Pattern Database: A Tool for Systematic BMI
Audience measurement services;conduct market research on online audience as agency for other customers;;The Business Model Pattern Database: A Tool for Systematic BMI
Banner advertising;infomercials, ultramercials, advertising networks, banner exchange, pay-per-click;Place advertising banners on websites;The Business Model Pattern Database: A Tool for Systematic BMI
Barter;;Allow customers to trade a non-monetary compensation in exchange for a product or service;The Business Model Pattern Database: A Tool for Systematic BMI
Brand integrated content;;As manufacturer of other products create content for the sole basis of product placement;The Business Model Pattern Database: A Tool for Systematic BMI
Breakthrough markets;;Invest in opening new markets to gain at least a temporary monopoly;The Business Model Pattern Database: A Tool for Systematic BMI
Bricks + clicks;click and mortar;Integrate both an online (clicks) and an offline (bricks) presence to browse, order, and pick up products;The Business Model Pattern Database: A Tool for Systematic BMI
Brokerage;switchboard, network efficiency, open market-making;Bring together and facilitate transactions between buyers and sellers, charging a fee for each successful transaction;The Business Model Pattern Database: A Tool for Systematic BMI
Bundle elements together ;bundled pricing, bundling sales;Make purchasing simple and more complete by packaging related products together;The Business Model Pattern Database: A Tool for Systematic BMI
Business intelligence;;Gather secondary and primary information about competitors, markets, customers, and other entities to predict important information;The Business Model Pattern Database: A Tool for Systematic BMI
Buy/sell fulfillment;;Take customer orders to buy or sell a product or service, including terms like price and delivery;The Business Model Pattern Database: A Tool for Systematic BMI
Buying club;;Round up buyers with attractive prices and use purchase volume to gain discounts;The Business Model Pattern Database: A Tool for Systematic BMI
Channel maximization;;Leverage as many channels as possible to maximize revenues;The Business Model Pattern Database: A Tool for Systematic BMI
Classifieds;;List items for sale or things of interest and charge listing or membership fees in exchange;The Business Model Pattern Database: A Tool for Systematic BMI
Collaboration platforms;;Provide a set of tools and an information environment for collaboration between enterprises;The Business Model Pattern Database: A Tool for Systematic BMI
Connection;internet access provider, horizontal infrastructure portals, internet services providers;Provide physical and/or virtual network infrastructure to gain (internet) access;The Business Model Pattern Database: A Tool for Systematic BMI
Content provider;information and service providers, selling content, online content providers, content publisher, content, content services;Provide content such as information, digital products, and services;The Business Model Pattern Database: A Tool for Systematic BMI
Content-targeted advertising;;Identify the meaning of a web page and then automatically deliver relevant ads when a user visits that page;The Business Model Pattern Database: A Tool for Systematic BMI
Context;;Sort and/or aggregate available online information;The Business Model Pattern Database: A Tool for Systematic BMI
Contextual mobile advertising;;Tailor advertising to the context, e.g., location, preferences, or status;The Business Model Pattern Database: A Tool for Systematic BMI
